Provider Id,Provider Zip Code,Provider State,Zip Latitude,Zip Longitude
40001,72761,AR,36.179905,-94.50208
40002,72830,AR,35.490105,-93.48510
40004,72703,AR,36.107078,-94.11592
40007,72205,AR,34.752391,-92.33550
40010,72758,AR,36.306616,-94.14622
40011,72833,AR,35.044021,-93.41950
40014,72143,AR,35.239022,-91.73776
40015,71953,AR,34.588479,-94.21567
40016,72205,AR,34.752391,-92.33550
40017,72601,AR,36.236984,-93.09345
40018,72956,AR,35.456536,-94.34581
40019,72335,AR,35.010683,-90.78048
40020,72401,AR,35.844795,-90.68443
40022,72764,AR,36.182407,-94.10820
40026,71903,AR,34.506487,-93.01941
40027,72653,AR,36.329026,-92.35781
40029,72034,AR,35.075467,-92.43401
40036,72117,AR,34.777238,-92.17913
40039,72450,AR,36.065711,-90.51020
40041,72801,AR,35.278429,-93.13682
40042,72301,AR,35.150009,-90.17636
40047,72455,AR,36.304912,-91.01410
40050,71701,AR,33.578096,-92.81368
40051,71655,AR,33.620860,-91.76272
40055,72901,AR,35.373791,-94.41371
40062,72917,AR,35.265119,-94.37789
40067,71754,AR,33.249608,-93.20427
40069,72315,AR,35.925991,-89.91767
40071,71603,AR,34.189398,-92.04495
40072,72160,AR,34.479852,-91.53854
40074,72076,AR,34.879419,-92.12244
40076,72104,AR,34.364093,-92.81460
40078,71901,AR,34.506487,-93.01941
40080,72112,AR,35.586065,-91.24695
40084,72015,AR,34.564734,-92.59562
40085,72342,AR,34.485028,-90.64636
40088,71731,AR,33.218456,-92.64911
40091,71801,AR,33.657969,-93.59486
40114,72205,AR,34.752391,-92.33550
40118,72401,AR,35.844795,-90.68443
40119,72503,AR,35.781080,-91.63835
40134,72211,AR,34.749723,-92.41345
40137,72120,AR,34.855962,-92.21997
40147,72118,AR,34.813269,-92.30229
40152,72703,AR,36.107078,-94.11592
50002,94545,CA,37.635582,-122.10418
50006,95501,CA,40.793739,-124.16102
50007,94010,CA,37.574936,-122.36332
50008,94114,CA,37.758434,-122.43512
50009,94558,CA,38.337243,-122.30027
50013,94574,CA,38.511241,-122.45695
50014,95642,CA,38.359772,-120.75324
50016,93420,CA,35.119678,-120.55116
50017,95819,CA,38.568855,-121.44099
50018,90012,CA,34.061611,-118.23944
50022,92501,CA,33.991181,-117.37074
50024,91950,CA,32.670903,-117.09272
50025,92103,CA,32.746018,-117.16715
50026,91942,CA,32.785000,-117.01860
50028,95521,CA,40.867469,-124.07519
50030,95966,CA,39.491076,-121.49468
50036,93301,CA,35.381408,-119.01935
50038,95128,CA,37.316983,-121.93555
50039,95926,CA,39.745973,-121.84259
50040,91342,CA,34.307877,-118.42904
50042,96080,CA,40.183837,-122.24074
50043,94609,CA,37.834926,-122.26400
50045,92243,CA,32.783359,-115.57746
50046,93023,CA,34.456957,-119.25307
50047,94115,CA,37.786129,-122.43736
50054,92220,CA,33.920803,-116.87897
50055,94110,CA,37.748730,-122.41545
50056,93534,CA,34.698696,-118.15015
50057,93291,CA,36.351009,-119.33655
50058,91204,CA,34.135259,-118.25948
50060,93715,CA,36.831723,-119.83198
50063,90028,CA,34.098859,-118.32745
50067,95361,CA,37.776528,-120.84756
50069,92868,CA,33.787266,-117.87494
50070,94080,CA,37.652857,-122.43010
50071,95051,CA,37.346241,-121.98460
50072,94596,CA,37.905924,-122.05858
50073,94589,CA,38.152068,-122.25074
50075,94611,CA,37.827126,-122.22289
50076,94115,CA,37.786129,-122.43736
50077,92103,CA,32.746018,-117.16715
50078,90732,CA,33.736718,-118.31123
50079,94806,CA,37.972623,-122.33873
50082,93030,CA,34.217070,-119.17690
50084,95204,CA,37.974273,-121.31470
50089,92411,CA,34.120510,-117.31760
50090,95476,CA,38.277147,-122.47058
50091,90255,CA,33.978404,-118.21773
50093,93710,CA,36.825582,-119.76358
50096,91790,CA,34.068059,-117.93835
50099,91786,CA,34.101659,-117.65776
50100,92123,CA,32.803799,-117.13595
50101,94589,CA,38.152068,-122.25074
50102,92503,CA,33.913550,-117.46052
50103,90033,CA,34.050411,-118.21195
50104,90262,CA,33.924642,-118.20186
50107,93454,CA,34.900809,-120.34876
50108,95816,CA,38.571661,-121.46827
50110,93436,CA,34.639682,-120.44710
50111,90004,CA,34.077110,-118.30755
50112,90404,CA,34.026959,-118.47432
50115,92025,CA,33.106862,-117.07077
50116,91325,CA,34.235055,-118.51766
50118,95336,CA,37.812815,-121.21416
50121,93230,CA,36.327063,-119.64510
50122,95203,CA,37.954823,-121.30735
50124,91209,CA,34.189605,-118.22857
50125,95116,CA,37.349640,-121.85440
50126,91406,CA,34.201491,-118.49376
50127,95695,CA,38.697238,-121.80944
50128,92056,CA,33.195354,-117.28232
50129,92404,CA,34.148560,-117.26298
50131,94945,CA,38.117065,-122.56316
50132,91776,CA,34.089059,-118.09510
50133,95901,CA,39.159730,-121.53735
50135,90028,CA,34.098859,-118.32745
50136,94954,CA,38.243299,-122.60690
50137,91402,CA,34.223753,-118.44322
50138,90027,CA,34.111208,-118.28842
50139,90242,CA,33.920180,-118.14291
50140,92335,CA,34.088911,-117.45213
50145,93940,CA,36.586193,-121.88667
50149,90015,CA,34.038993,-118.26516
50150,95945,CA,39.202725,-121.02076
50152,94109,CA,37.792778,-122.42188
50153,95128,CA,37.316983,-121.93555
50158,91436,CA,34.155625,-118.48925
